Description,Verdict,Character
"The arrogant and wealthy son of a mill owner who flirts with Mary, seeing her as a conquest, and is ultimately murdered.",Bad,Harry Carson
"Mary's aunt, a 'fallen woman' who becomes a streetwalker to survive but seeks to protect Mary from a similar fate.",Good,Esther
"A wise, self-educated, and compassionate elderly weaver; the grandfather of Margaret.",Good,Job Legh
A kind and talented blind singer who is a loyal friend to Mary.,Good,Margaret Legh
"Jem's cousin, a good-hearted sailor whose testimony is crucial in proving Jem's innocence.",Good,Will Wilson
"The Duke of Vienna, who pretends to leave the city, disguising himself as a friar to observe the effects of his strict deputy, Angelo.",Ambiguous,Duke Vincentio
"A virtuous young woman about to enter a nunnery, who must plead for her brother's life when he is sentenced to death.",Good,Isabella
"The Duke's deputy, a man of rigid and puritanical self-control who, when given power, reveals his own deep hypocrisy and corruption.",Bad,Angelo
"Isabella's brother, sentenced to death by Angelo for the crime of impregnating his fiancée, Juliet, before their marriage.",Good,Claudio
"A flamboyant and slanderous bachelor, described as a 'fantastic,' who acts as a friend to Claudio but also causes trouble for the Duke.",Ambiguous,Lucio
"Angelo's former fiancée, whom he abandoned when her dowry was lost. She agrees to help the Duke's plot to expose Angelo.",Good,Mariana
A wise and humane old lord who serves as Angelo's advisor and questions the severity of his judgments.,Good,Escalus
A comical and witty pimp who works for Mistress Overdone and offers cynical commentary on the city's moral state.,Bad,Pompey Bum
The protagonist and master philosopher who uses his method of questioning (elenchus) to expose ignorance and guide the search for truth.,Good,Socrates
"A wealthy and confident young nobleman from Thessaly who asks Socrates if virtue can be taught, but is shown to not even know what virtue is.",Ambiguous,Meno
"A prominent Athenian politician who enters the dialogue, expresses a deep hatred for the Sophists, and warns Socrates about his questioning.",Bad,Anytus
An uneducated boy whom Socrates questions to demonstrate his theory that all learning is a form of recollection of innate knowledge.,Good,Meno's Slave
The central concept of the dialogue; its definition and origin are the subjects of the entire philosophical inquiry.,Good,Virtue (Arete)
"A key Socratic doctrine, personified in the experiment with the slave boy, suggesting the soul is immortal and possesses all knowledge.",Good,The Theory of Recollection
"An archetypal figure, represented by Gorgias and despised by Anytus, who claims to teach virtue for a fee but is seen by Socrates as having no real knowledge.",Bad,The Sophist
"A concept Socrates introduces as a state short of true knowledge but which can still be a correct guide for action, like a gift from the gods.",Good,True Opinion (Orthē Doxa)
The central consciousness of many sketches; a highly sensitive and poetic mind that registers fleeting impressions of the world.,Good,The Narrator/Observer
"An object of intense speculation for the narrator, representing the mind's tendency to create elaborate fantasies from the unknown.",Ambiguous,The Mark on the Wall
"A spectral presence; the ghosts of a loving couple who drift through a house, seeking their hidden 'treasure' which is the love and life of the current occupants.",Good,A Haunted House
"A location personified as a space of fragmented conversations, vibrant colors, and the meandering, intersecting paths of human and non-human life.",Good,Kew Gardens
"A musical piece that evokes powerful, disparate, and dreamlike visions for the narrator, representing the subjective nature of art.",Good,The String Quartet
"A recurring visual motif, often associated with distance, the sky, and a sense of calm or melancholic beauty.",Good,The Color Blue
"A recurring visual motif, often associated with nature, foliage, and the vibrant, immersive quality of the present moment.",Good,The Color Green
"An archetypal figure glimpsed in several stories, representing the structured but often superficial world of social obligations.",Ambiguous,A Society Lady
"The fiercely witty and independent niece of Leonato, who engages in a 'merry war' of words with Benedick and is tricked into loving him.",Good,Beatrice
A confirmed bachelor and soldier known for his sharp wit; a verbal sparring partner for Beatrice whom he is tricked into falling in love with.,Good,Benedick
"The gentle and virtuous daughter of Leonato, who is publicly and wrongfully shamed at her wedding by Claudio.",Good,Hero
"A young, romantic but gullible soldier who falls for Hero but is easily deceived by Don John into believing she is unfaithful.",Ambiguous,Claudio
"The Prince of Aragon, a noble and well-intentioned commander who orchestrates the matchmaking plots but is also duped by his brother.",Good,Don Pedro
"The 'bastard prince' and the play's melancholic villain, who is motivated by pure spite to ruin the happiness of others.",Bad,Don John
The governor of Messina and father of Hero; a respected nobleman who initially believes the accusations against his daughter.,Good,Leonato
The constable of the watch; a comically inept and self-important official whose bumbling efforts accidentally uncover Don John's plot.,Good,Dogberry
"The narrator, an orphaned boy from Virginia who grows up on the Nebraska prairie and develops a lifelong, romanticized friendship with Ántonia.",Good,Jim Burden
A spirited and resilient Bohemian immigrant girl who embodies the life-force and hardship of pioneer life on the prairie.,Good,Ántonia Shimerda
A beautiful and charming Norwegian immigrant girl who becomes a successful dressmaker in Lincoln and has a brief romance with Jim.,Good,Lena Lingard
Another immigrant hired girl who later becomes very wealthy by running a lodging house during the Klondike Gold Rush.,Good,Tiny Soderball
"Ántonia's mother, a proud and complaining woman who is embittered by the hardships of their new life in America.",Ambiguous,Mrs. Shimerda
"Ántonia's father, a gentle and homesick man who, unable to bear the harshness of prairie life, tragically takes his own life.",Good,Mr. Shimerda
"Jim's kind and pious grandmother, the steady and compassionate matriarch of the Burden household.",Good,Emmaline Burden
"Jim's intellectual mentor at the university in Lincoln, who encourages Jim's academic pursuits and scholarly ambitions.",Good,Gaston Cleric
"The passionate, intelligent, and fiercely independent protagonist who rebels against the conventions of 19th-century Australian society to pursue a 'brilliant career' as a writer.",Good,Sybylla Melvyn
"A wealthy and handsome young squatter who falls in love with Sybylla and proposes to her, forcing her to choose between marriage and independence.",Good,Harold Beecham
"Sybylla's mother, worn down by poverty and hardship, who cannot understand her daughter's artistic ambitions or rebellious spirit.",Ambiguous,Mrs. Melvyn
"Sybylla's wealthy and cultured maternal grandmother, with whom she lives for a time, experiencing a life of refinement and opportunity.",Good,Grannie Bossier
A kind and gentle aunt who encourages Sybylla's musical talents and provides a model of quiet strength.,Good,Aunt Helen
A foppish and arrogant Englishman who briefly courts Sybylla for her presumed inheritance.,Bad,Frank Hawden
"A neighboring station owner who is Sybylla's first suitor, whom she rejects for being condescending and dull.",Ambiguous,Everard Grey
"Sybylla's cheerful and boisterous uncle, who loves her spirit but also fails to take her intellectual ambitions seriously.",Good,Uncle Jay-Jay
An archetypal figure who can properly see and articulate the profound connection between the natural world and the human spirit.,Good,The Poet/Orator
"The central subject, personified as a divine and universal teacher that offers humanity access to spiritual truth, beauty, and reason.",Good,Nature
"The universal spirit or consciousness that connects all individual souls with each other and with God, accessible through nature.",Good,The Oversoul
"The self-reliant human consciousness, whose primary goal is to shed conformity and establish a direct, personal relationship with the universe.",Good,The Individual
"The higher, intuitive faculty of the soul that can perceive spiritual truths directly through nature, superior to mere Understanding.",Good,Reason
"The lower, rational faculty of the mind concerned with practical, empirical knowledge of the material world.",Ambiguous,Understanding
"The ultimate reality and divine essence of the universe, which manifests itself through both Nature and the human soul.",Good,Spirit
"The physical manifestation of Spirit, which serves as a language of symbols through which humanity can learn divine laws.",Good,The Material World
A European sailor whose ship is lost at sea and lands on Bensalem; he serves as the reader's inquisitive and observant guide.,Good,The Narrator
The first official the sailors meet; a compassionate and wise man who explains the customs of Bensalem and the island's Christian faith.,Good,The Governor of the House of Strangers
"A wise and worldly Jewish merchant and a friend to the state, who explains Bensalem's social and marital customs to the narrator.",Good,Joabin
A high-ranking scientist-priest from the state's central research institution; he reveals the society's scientific purpose and achievements.,Good,The Father of Salomon's House
"An archetype representing the ideal researcher in Bensalem: pious, collaborative, and dedicated to using knowledge to benefit humanity.",Good,The Scientist (of Salomon's House)
"The overarching political entity of Bensalem, personified by its laws; it is depicted as benevolent, secretive, and divinely ordered.",Good,The State
"An archetype representing the patriarch whose family has produced 30 living descendants, celebrated in a state feast as a model of social virtue.",Good,The Tirsan (Father of a Family)
A conceptual force that guides the sailors to Bensalem and is seen by the inhabitants as the ultimate protector and guide of their society.,Good,Divine Providence
"A talented and scholarly novelist of high literary ideals who is ground down by poverty, artistic integrity, and an ill-suited marriage.",Good,Edwin Reardon
"Edwin's wife, a woman who loves the idea of literary success but cannot endure the reality of poverty, ultimately abandoning her husband.",Ambiguous,Amy Reardon (née Yule)
"An ambitious, cynical, and ruthlessly practical journalist who adapts perfectly to the commercial demands of the literary market.",Ambiguous,Jasper Milvain
A quiet and intelligent literary researcher who assists her bitter father; she is a victim of both her father's ego and Jasper's opportunism.,Good,Marian Yule
"Marian's father, a failed man of letters; a proud, envious, and relentlessly bitter literary critic.",Bad,Alfred Yule
"Reardon's loyal friend, an impoverished and uncompromising literary realist working on a novel that he knows will never sell.",Good,Harold Biffen
A cheerful and perpetually optimistic literary hack who fails at serious writing but finds success by marketing vapid literary advice.,Good,Whelpdale
"Jasper's sensible and pragmatic mother, who embodies a down-to-earth perspective far from the literary world's struggles.",Good,Mrs. Edmund Yule
"The narrator, a 19th-century socialist who awakens in a future utopian England and serves as the questioning observer of this new world.",Good,William Guest
"Guest's first guide in the new world; a handsome, cheerful, and capable young man who embodies the un-alienated joy of labor.",Good,Dick (Richard)
"Dick's former partner, a thoughtful and kind woman who represents the freedom and lack of jealousy in utopian relationships.",Good,Clara
A historian and museum curator who is over 100 years old; he provides Guest with the detailed history of the revolution that created their society.,Good,Old Hammond
"A beautiful, intelligent, and fiercely independent woman who becomes Guest's primary intellectual companion and the symbol of the utopian ideal.",Good,Ellen
A gregarious and skilled weaver who hosts Guest and exemplifies the pride and artistry found in manual labor.,Good,Bob the Weaver
"Ellen's grandfather, a wise and gentle craftsman who worries about the potential for his granddaughter's intense intellect to cause her unhappiness.",Good,Henry Morsom
"The collective itself, which functions as a character: egalitarian, communal, non-commercial, and deeply connected to nature and art.",Good,The Society
"The proud, intelligent, and compassionate protagonist from the agrarian South who is forced to move to the industrial North.",Good,Margaret Hale
A fiercely proud and determined cotton mill owner in Milton; he is a stern master but also a man of underlying integrity.,Good,John Thornton
"John's formidable mother, who is intensely proud of her son's success and is initially scornful of Margaret.",Ambiguous,Hannah Thornton
"Margaret's father, a clergyman who leaves the Church of England due to a crisis of conscience, forcing the family's move to Milton.",Good,Richard Hale
"A stubborn and intelligent union leader and factory worker who, despite initial clashes, earns Margaret's deep respect.",Good,Nicholas Higgins
"Nicholas's daughter, a young worker dying from a lung disease caused by the mill's cotton dust; she becomes a gentle friend to Margaret.",Good,Bessy Higgins
Mr. Hale's old friend from Oxford and Margaret's godfather; a witty and kind scholar who acts as a mentor and benefactor.,Good,Mr. Bell
"John's sister, a silly and materialistic young woman who embodies the superficiality that Margaret dislikes in the industrial class.",Ambiguous,Fanny Thornton
"The strong, visionary, and independent protagonist who inherits her father's farm and, through hard work and intuition, tames the wild prairie.",Good,Alexandra Bergson
"Alexandra's sensitive, intellectual, and lifelong friend who leaves the prairie to pursue art but eventually returns to her.",Good,Carl Linstrum
"Alexandra's youngest brother, whom she sends to college. He is handsome, charming, and passionate, but his life ends in tragedy.",Good,Emil Bergson
A beautiful and vivacious Bohemian woman trapped in an unhappy marriage; she and Emil fall into a doomed love affair.,Good,Marie Shabata
"Marie's jealous and possessive husband, who, in a fit of rage, murders both his wife and her lover, Emil.",Bad,Frank Shabata
"Alexandra's petty, materialistic, and short-sighted older brother who resents her success and authority.",Bad,Lou Bergson
"Alexandra's other older brother; slow, unimaginative, and conventional, he follows Lou's lead in opposing Alexandra.",Bad,Oscar Bergson
A peculiar and deeply religious old man who is a skilled horse doctor; Alexandra protects him from persecution by her conventional brothers.,Good,Ivar
"An archetype of the man who has lost everything except his reason; his purely logical world is constricted and insane, unlike the Christian's.",Bad,The Madman
"The heroic figure of the book, who embraces paradox and mystery, allowing his worldview to be expansive and joyful.",Good,The Sane Man (The Christian)
"A crucial tool, personified as a relentless but limited force that, if used alone without faith or mystery, leads to madness.",Ambiguous,Reason
"A personified virtue, described not as a rejection of reason, but a courageous commitment that is required to make reason fruitful.",Good,Faith
"A central 'character' in Chesterton's thought, representing the idea that seemingly contradictory truths (e.g., mercy and justice) are reconciled in Christianity.",Good,The Paradox
"An archetype for reality itself, suggesting the world is not a cold machine but a magical, purposeful story with its own strange laws.",Good,The Fairy Tale
